book_id,title,price,rating,availability,url,page_metadata,ingestion_time
1000,A Light in the Attic,51.77,3,1,http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,1,2026-04-09 15:39:27
999,Tipping the Velvet,53.74,1,1,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,1,2026-04-09 15:39:27
998,Soumission,50.1,1,1,http://books.toscrape.com/catalogue/soumission_998/index.html,1,2026-04-09 15:39:27
997,Sharp Objects,47.82,4,1,http://books.toscrape.com/catalogue/sharp-objects_997/index.html,1,2026-04-09 15:39:27
996,Sapiens: A Brief History of Humankind,54.23,5,1,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,1,2026-04-09 15:39:27
995,The Requiem Red,22.65,1,1,http://books.toscrape.com/catalogue/the-requiem-red_995/index.html,1,2026-04-09 15:39:27
994,The Dirty Little Secrets of Getting Your Dream Job,33.34,4,1,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,1,2026-04-09 15:39:27
993,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,1,http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,1,2026-04-09 15:39:27
992,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,1,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,1,2026-04-09 15:39:27
991,The Black Maria,52.15,1,1,http://books.toscrape.com/catalogue/the-black-maria_991/index.html,1,2026-04-09 15:39:27
990,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,1,http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,1,2026-04-09 15:39:27
989,Shakespeare's Sonnets,20.66,4,1,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,1,2026-04-09 15:39:27
988,Set Me Free,17.46,5,1,http://books.toscrape.com/catalogue/set-me-free_988/index.html,1,2026-04-09 15:39:27
987,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,1,http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,1,2026-04-09 15:39:27
986,Rip it Up and Start Again,35.02,5,1,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,1,2026-04-09 15:39:27
985,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,1,http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,1,2026-04-09 15:39:27
984,Olio,23.88,1,1,http://books.toscrape.com/catalogue/olio_984/index.html,1,2026-04-09 15:39:27
983,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,1,http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,1,2026-04-09 15:39:27
982,Libertarianism for Beginners,51.33,2,1,http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,1,2026-04-09 15:39:27
981,It's Only the Himalayas,45.17,2,1,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,1,2026-04-09 15:39:27
820,Modern Romance,28.26,5,1,http://books.toscrape.com/catalogue/modern-romance_820/index.html,10,2026-04-09 15:39:27
819,Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76,1,1,http://books.toscrape.com/catalogue/miss-peregrines-home-for-peculiar-children-miss-peregrines-peculiar-children-1_819/index.html,10,2026-04-09 15:39:27
818,Louisa: The Extraordinary Life of Mrs. Adams,16.85,2,1,http://books.toscrape.com/catalogue/louisa-the-extraordinary-life-of-mrs-adams_818/index.html,10,2026-04-09 15:39:27
817,Little Red,13.47,3,1,http://books.toscrape.com/catalogue/little-red_817/index.html,10,2026-04-09 15:39:27
816,Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,5,1,http://books.toscrape.com/catalogue/library-of-souls-miss-peregrines-peculiar-children-3_816/index.html,10,2026-04-09 15:39:27
815,Large Print Heart of the Pride,19.15,2,1,http://books.toscrape.com/catalogue/large-print-heart-of-the-pride_815/index.html,10,2026-04-09 15:39:27
814,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,4,1,http://books.toscrape.com/catalogue/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html,10,2026-04-09 15:39:27
813,Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,1,1,http://books.toscrape.com/catalogue/hollow-city-miss-peregrines-peculiar-children-2_813/index.html,10,2026-04-09 15:39:27
812,Grumbles,22.16,2,1,http://books.toscrape.com/catalogue/grumbles_812/index.html,10,2026-04-09 15:39:27
811,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,1,http://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,10,2026-04-09 15:39:27
810,Frostbite (Vampire Academy #2),29.99,5,1,http://books.toscrape.com/catalogue/frostbite-vampire-academy-2_810/index.html,10,2026-04-09 15:39:27
809,Follow You Home,21.36,1,1,http://books.toscrape.com/catalogue/follow-you-home_809/index.html,10,2026-04-09 15:39:27
808,First Steps for New Christians (Print Edition),29.0,1,1,http://books.toscrape.com/catalogue/first-steps-for-new-christians-print-edition_808/index.html,10,2026-04-09 15:39:27
807,Finders Keepers (Bill Hodges Trilogy #2),53.53,5,1,http://books.toscrape.com/catalogue/finders-keepers-bill-hodges-trilogy-2_807/index.html,10,2026-04-09 15:39:27
806,"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,1,http://books.toscrape.com/catalogue/fables-vol-1-legends-in-exile-fables-1_806/index.html,10,2026-04-09 15:39:27
805,Eureka Trivia 6.0,54.59,4,1,http://books.toscrape.com/catalogue/eureka-trivia-60_805/index.html,10,2026-04-09 15:39:27
804,Drive: The Surprising Truth About What Motivates Us,34.95,4,1,http://books.toscrape.com/catalogue/drive-the-surprising-truth-about-what-motivates-us_804/index.html,10,2026-04-09 15:39:27
803,Done Rubbed Out (Reightman & Bailey #1),37.72,5,1,http://books.toscrape.com/catalogue/done-rubbed-out-reightman-bailey-1_803/index.html,10,2026-04-09 15:39:27
802,Doing It Over (Most Likely To #1),35.61,3,1,http://books.toscrape.com/catalogue/doing-it-over-most-likely-to-1_802/index.html,10,2026-04-09 15:39:27
801,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,3,1,http://books.toscrape.com/catalogue/deliciously-ella-every-day-quick-and-easy-recipes-for-gluten-free-snacks-packed-lunches-and-simple-meals_801/index.html,10,2026-04-09 15:39:27
800,Dark Notes,19.19,5,1,http://books.toscrape.com/catalogue/dark-notes_800/index.html,11,2026-04-09 15:39:27
799,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,3,1,http://books.toscrape.com/catalogue/daring-greatly-how-the-courage-to-be-vulnerable-transforms-the-way-we-live-love-parent-and-lead_799/index.html,11,2026-04-09 15:39:27
798,Close to You,49.46,4,1,http://books.toscrape.com/catalogue/close-to-you_798/index.html,11,2026-04-09 15:39:27
797,Chasing Heaven: What Dying Taught Me About Living,37.8,2,1,http://books.toscrape.com/catalogue/chasing-heaven-what-dying-taught-me-about-living_797/index.html,11,2026-04-09 15:39:27
796,Big Magic: Creative Living Beyond Fear,30.8,3,1,http://books.toscrape.com/catalogue/big-magic-creative-living-beyond-fear_796/index.html,11,2026-04-09 15:39:27
